NNSE,NmKGE,NnpKGE,mean_NmKGE,split_NNSE,split_NmKGE,split_NnpKGE,split_mean_NmKGE
330.96942468504557,341.2871392328712,395.5126664420632,129.69378259222603,349.1495382972711,363.78071165848127,351.28538417776093,302.74989357623974
430.18946444171945,444.5447428031879,520.2046216027983,177.48776310640886,434.21687102696234,484.844918289446,574.203155743736,424.97859233471564
401.2089189979447,413.6941937693421,447.5855944320909,159.98115821569644,408.0658598049967,442.76710815718917,435.42649631740375,380.165885402815
353.2531190978836,361.0666148480481,393.2130694794615,131.64209353121922,368.47832926021533,383.85816456608666,368.529542923784,318.767475885417
306.10232662719454,308.4523851398868,341.60545964239174,108.10127330194223,330.0259237558671,328.58528450126556,316.03820791775496,261.3528785159258
269.1145567820344,266.6188729371385,298.7122096537135,91.74561223982776,299.2386796206153,285.57634461485134,279.02537673489513,217.57232326050325
241.70043961032917,235.42084284245348,262.8471884136587,81.22753243752473,275.17293287667843,252.87199098612416,249.81765931348295,186.00341464915198
221.22653132829396,212.17810506782652,232.65921922434484,74.68307206664018,255.78814571778074,227.2441113579206,225.12771790544434,163.4386011359385
205.32865881255245,194.31485186632077,207.07545117426636,70.62242922295033,239.46653400878566,206.25197698949788,203.48394315008312,147.10591493936641
192.34929749652625,179.95251342527936,185.24257771935586,68.03906975498933,225.16188847531674,188.3518460143038,184.17084673805684,134.99022692541627
181.23914233275258,167.86497340270532,166.48055367525052,66.30691394227027,212.24902858366124,172.62791185514456,166.7934969421581,125.7109862421572
184.3892554781948,171.2240750888007,166.3911794827583,65.05521772858434,211.23664155504858,173.92926172293497,175.06451212815165,134.37827685091406
395.61979838572177,397.94761674348945,421.5039348137964,64.07146379186081,383.5242550083354,420.4521829734566,554.5699902371346,399.5976408272543
403.03488830232794,410.8215048240666,378.5142922975615,63.23660229483523,383.12647090580424,413.9924716900477,398.9901757410516,401.746245389904
347.1911970030925,352.8471107244718,325.0029661299501,62.48506518495809,336.4062786070635,344.49593470717065,299.7053495896141,334.3993015149592
290.39842661509755,291.1695074812213,281.31053367395094,61.781200497806765,292.01795730812347,281.5609943742888,246.73978814343548,269.39295600183925
246.27285708786306,242.09557932133373,244.80897081624985,61.105809834347035,257.9682348348679,235.08641298282814,213.00661402352162,219.3068484409305
221.2071876374006,213.4796404828558,222.53809467068373,60.44862675888388,238.3425998847268,209.82175251567742,200.68612398399372,191.26289125093055
235.03411081012644,226.98634488183563,240.81687838095846,59.80418377401649,249.58879024100736,228.228651210692,243.1007646274517,209.749075758595
303.137511021651,299.6142087902585,316.9823544660608,59.16957033165079,304.6813077662404,307.3856160998386,354.61074409322987,292.9630229291618
286.5345814496605,283.4504826977148,277.46575788833735,58.54322902840924,288.0464478294773,282.56905427096893,268.17616002225003,269.7679725270248
314.5680145850441,313.49527119676634,321.2342602077933,57.92431458083045,311.1892281599213,315.38471048689365,336.04937122986325,305.3100038831702
608.8879091210733,629.1357821316457,683.1574044812302,243.16743738690212,555.8140824105524,660.8427675249144,856.2824189674702,667.1838588663862
615.17012694161,642.2255435390092,626.114662678099,262.70855000751703,556.8469671772982,650.5407957536298,639.1915308021543,659.4695640258084
528.850158901716,551.6411610988641,546.494543496456,216.2296247229213,489.3591358160467,547.2232482427295,493.5826310887118,550.0291139656277
445.61577429427314,460.39927674119645,484.61300957633995,166.44198630619502,428.33911640336237,457.878529020868,422.6513359906052,449.49452287657397
377.2384751180647,383.776068422623,425.89274852048794,128.90786412558145,378.6592651339005,387.1746214124338,368.1497545832657,366.32896494951814
384.7159681809125,388.2238128161872,448.55417810681763,118.44629885092314,389.7697044722263,403.5788224523945,436.3362229818635,374.3898261736512
345.5640073036401,344.87871093336,388.27356325095707,102.7415186973071,358.24141330563793,358.3039722541567,353.3924620271641,322.05661748517895
302.6162297955059,297.35540212496477,336.87040215287215,89.78828608899468,323.1026783804001,309.1747563392804,301.35803886282537,268.204022142785
267.6450247677032,258.35898172102605,294.2086203041919,80.72946716142641,293.79271503920455,269.35720327576166,265.3313070177539,225.97045340865304
241.2000337634462,228.79147240110981,258.58128773899347,74.8002625399268,270.4743135149203,238.62060239158527,237.2485250212948,195.09771144043964
414.96032124355884,413.0171535549224,473.55606878834885,117.76045039510277,413.6075200935308,442.819972703673,574.5672222087945,408.55529566011
422.48820046702315,424.5574470720566,431.3530169604392,117.1382651375259,414.0754911052336,438.78856791928473,443.44566057926227,409.9148507175442
403.0437803796071,405.1740643464082,413.6573795967318,116.84621731218665,396.89614174593686,411.7559321693666,405.6278789277634,385.995116773896
358.2638308191295,357.2973061264603,368.63914968398683,103.79433018076622,360.6391142034395,359.50540039515965,341.14584213771707,333.6468986718057
322.5647132422363,317.98045215095766,337.42445475332926,91.03127519429499,332.6009762823137,320.5897311778394,311.7881233040626,293.3262270588641
283.19522713677134,274.6672213320519,294.15886262539175,81.53717318885396,300.58026611448554,276.8993928975619,265.18402105670634,247.9402233860366
251.68652370395372,239.73859133651717,258.913341973821,75.14345092907003,274.2078148586556,242.00990010693354,234.42924489725317,212.26555790119232
285.22745929968,274.14099307876126,302.7974570035193,70.98914702175576,301.35386121158047,282.7055544087877,318.395747345273,254.91102839023486
342.0170902693271,334.8595301359045,359.7999719822108,68.27985721108746,346.20881617229014,346.37378875278665,393.16861069987533,322.65876996699353
318.7932222471275,311.75404711358476,313.990296306643,66.44773352128227,323.77334452333076,313.7309548625998,301.6323181198909,292.9376769949872
279.77073526332015,270.47269154093243,273.5077709207218,65.1287681123193,290.4854388176012,267.5677775673256,248.37996130616526,248.4169953204679
245.33509581031709,233.19260664587608,239.7818458636607,64.10333512158354,261.68778489444054,229.1382862559555,214.8348807983881,210.7631576462159
287.3418105612105,276.61183596445227,300.215030037036,63.243923025054926,296.6527829868781,280.72201608631383,320.56083032467234,264.2413906966457
285.5221733219597,275.35935576198733,282.8826726675621,62.47843274498526,292.8394025792572,275.84504437224456,279.8705426844147,261.37404323947777
256.6848826544632,245.22335264894707,246.79159252987026,61.76686793806953,267.2693944460569,240.93790812015547,226.5533914178152,228.1545156969364
227.323782943227,213.82960261533955,216.6406117894925,61.08735162408806,242.0587882972086,207.6739797415681,194.18190676707943,196.1143349458782
