NmKGE_cmd,Log(CMD),Wet Threshold,Dry Threshold
515.2743211,2.7120385,2.535581621,2.847262721
516.7968039,2.713319819,2.535581621,2.847262721
486.928478,2.687465175,2.535581621,2.847262721
489.5050504,2.689757177,2.535581621,2.847262721
487.1106116,2.687627591,2.535581621,2.847262721
490.4331131,2.690579785,2.535581621,2.847262721
493.9016286,2.693640458,2.535581621,2.847262721
499.5576194,2.698585587,2.535581621,2.847262721
503.5542736,2.702046286,2.535581621,2.847262721
507.528506,2.70546044,2.535581621,2.847262721
510.6847595,2.708152897,2.535581621,2.847262721
513.671757,2.710685688,2.535581621,2.847262721
518.0893634,2.714404676,2.535581621,2.847262721
523.2304772,2.718693033,2.535581621,2.847262721
528.5647724,2.723098215,2.535581621,2.847262721
533.3464566,2.727009414,2.535581621,2.847262721
536.5710686,2.729627252,2.535581621,2.847262721
540.3344832,2.732662684,2.535581621,2.847262721
544.4127574,2.735928294,2.535581621,2.847262721
546.0022049,2.737194396,2.535581621,2.847262721
549.0676781,2.739625879,2.535581621,2.847262721
553.0410903,2.7427574,2.535581621,2.847262721
557.5306099,2.746268716,2.535581621,2.847262721
561.20091,2.749118367,2.535581621,2.847262721
564.5905463,2.751733602,2.535581621,2.847262721
567.7591025,2.754164106,2.535581621,2.847262721
567.4897666,2.753958034,2.535581621,2.847262721
570.6065601,2.75633676,2.535581621,2.847262721
573.4067435,2.758462796,2.535581621,2.847262721
576.4494226,2.760761209,2.535581621,2.847262721
578.6614698,2.762424566,2.535581621,2.847262721
580.6493137,2.763913917,2.535581621,2.847262721
583.1534728,2.765782866,2.535581621,2.847262721
585.7048557,2.767678825,2.535581621,2.847262721
585.7697366,2.76772693,2.535581621,2.847262721
548.4804894,2.739161183,2.535581621,2.847262721
549.8687543,2.740259042,2.535581621,2.847262721
553.4142416,2.743050331,2.535581621,2.847262721
556.9591819,2.745823368,2.535581621,2.847262721
560.1963078,2.748340242,2.535581621,2.847262721
561.8617789,2.74962949,2.535581621,2.847262721
563.9957009,2.751275794,2.535581621,2.847262721
565.5129098,2.752442524,2.535581621,2.847262721
567.1612703,2.753706567,2.535581621,2.847262721
569.2283692,2.755286536,2.535581621,2.847262721
570.3911343,2.756172767,2.535581621,2.847262721
567.8316793,2.754219618,2.535581621,2.847262721
550.4300305,2.74070212,2.535581621,2.847262721
524.1453613,2.719451747,2.535581621,2.847262721
498.6776143,2.697819873,2.535581621,2.847262721
495.6720565,2.695194436,2.535581621,2.847262721
496.5634527,2.695974752,2.535581621,2.847262721
492.2640475,2.692198118,2.535581621,2.847262721
492.926676,2.692782322,2.535581621,2.847262721
494.0329916,2.693755952,2.535581621,2.847262721
495.5461777,2.695084131,2.535581621,2.847262721
496.4405817,2.695867276,2.535581621,2.847262721
496.8212315,2.696200147,2.535581621,2.847262721
496.521732,2.695938262,2.535581621,2.847262721
494.6016321,2.694255545,2.535581621,2.847262721
493.3621966,2.693165869,2.535581621,2.847262721
493.9342426,2.693669135,2.535581621,2.847262721
494.8804624,2.694500308,2.535581621,2.847262721
495.5078265,2.695050519,2.535581621,2.847262721
496.248033,2.695698798,2.535581621,2.847262721
498.3562123,2.697539876,2.535581621,2.847262721
500.1749613,2.699121947,2.535581621,2.847262721
500.6657761,2.699547905,2.535581621,2.847262721
500.3077347,2.699237217,2.535581621,2.847262721
501.2486225,2.700053192,2.535581621,2.847262721
501.8854513,2.700604606,2.535581621,2.847262721
502.5458284,2.701175672,2.535581621,2.847262721
504.1812077,2.702586654,2.535581621,2.847262721
505.5508344,2.703764831,2.535581621,2.847262721
507.4266737,2.705373293,2.535581621,2.847262721
509.3744836,2.707037186,2.535581621,2.847262721
511.1269248,2.708528759,2.535581621,2.847262721
512.4584822,2.709658686,2.535581621,2.847262721
514.1633457,2.711101113,2.535581621,2.847262721
515.5603221,2.712279486,2.535581621,2.847262721
516.1873072,2.712807321,2.535581621,2.847262721
516.7645819,2.71329274,2.535581621,2.847262721
516.4656154,2.713041413,2.535581621,2.847262721
513.4413018,2.710490801,2.535581621,2.847262721
512.653853,2.709824226,2.535581621,2.847262721
513.676361,2.71068958,2.535581621,2.847262721
513.9763185,2.710943109,2.535581621,2.847262721
487.1641887,2.687675356,2.535581621,2.847262721
485.4118489,2.686110373,2.535581621,2.847262721
486.1426729,2.686763745,2.535581621,2.847262721
486.5829023,2.687156845,2.535581621,2.847262721
486.093577,2.686719883,2.535581621,2.847262721
486.4276724,2.687018274,2.535581621,2.847262721
486.8770619,2.687419314,2.535581621,2.847262721
487.3466855,2.687838017,2.535581621,2.847262721
487.5945042,2.688058802,2.535581621,2.847262721
487.4753296,2.687952642,2.535581621,2.847262721
487.8651104,2.688299761,2.535581621,2.847262721
488.2445798,2.688637431,2.535581621,2.847262721
488.7133048,2.689054162,2.535581621,2.847262721
490.048485,2.690239051,2.535581621,2.847262721
491.1077698,2.691176805,2.535581621,2.847262721
491.4333524,2.691464628,2.535581621,2.847262721
488.7840293,2.689117007,2.535581621,2.847262721
488.9257781,2.689242936,2.535581621,2.847262721
487.8719693,2.688305866,2.535581621,2.847262721
481.5307925,2.682624064,2.535581621,2.847262721
479.9110194,2.681160722,2.535581621,2.847262721
474.5716802,2.676301818,2.535581621,2.847262721
472.4109403,2.674319947,2.535581621,2.847262721
465.0772317,2.667525079,2.535581621,2.847262721
460.0550111,2.662809766,2.535581621,2.847262721
459.4336605,2.662222811,2.535581621,2.847262721
457.2013228,2.660107478,2.535581621,2.847262721
456.8249599,2.659749825,2.535581621,2.847262721
457.1807198,2.660087907,2.535581621,2.847262721
448.8359856,2.652087669,2.535581621,2.847262721
448.3324227,2.651600148,2.535581621,2.847262721
432.1820705,2.635666746,2.535581621,2.847262721
432.6037064,2.636090236,2.535581621,2.847262721
418.4524699,2.621646136,2.535581621,2.847262721
414.4872656,2.617511192,2.535581621,2.847262721
413.8105696,2.616801579,2.535581621,2.847262721
414.2941464,2.617308797,2.535581621,2.847262721
414.9652912,2.618011773,2.535581621,2.847262721
416.1168602,2.619215313,2.535581621,2.847262721
417.1058724,2.620246304,2.535581621,2.847262721
417.5515705,2.620710121,2.535581621,2.847262721
416.1465821,2.619246332,2.535581621,2.847262721
398.598312,2.600535455,2.535581621,2.847262721
362.9629474,2.559862293,2.535581621,2.847262721
343.4634904,2.535880579,2.535581621,2.847262721
331.2573826,2.520165566,2.535581621,2.847262721
318.4298394,2.503013758,2.535581621,2.847262721
