Approach,Overall_NmKGE,Overall_calib,Wet_calib,Mid_calib,Dry_calib,Overall_valid,Wet_valid,Mid_valid,Dry_valid
"(""split_NNSE"", ""split_mean_NmKGE"")",0.7520907214648648,0.8030528587042581,0.720868782316718,0.7850709483405858,0.4886117999722027,0.6893454738437346,0.7085783731343064,0.6723106725583844,0.3883214415083376
"(""split_NNSE"", ""split_NnpKGE"")",0.785871822367665,0.8218324325766324,0.7215194677408293,0.8009877859254456,0.4693427026480956,0.7267821192481145,0.676657514007701,0.6894347227774726,0.4534691561073513
"(""split_NmKGE"", ""NNSE"")",0.7463139435368255,0.8006618948867396,0.839919018708415,0.7102166468870832,0.5113630708104829,0.6579516264003912,0.6993357181750939,0.6067374181228922,0.5382573198714998
"(""split_NmKGE"", ""NmKGE"")",0.8368700727359532,0.8746114909258506,0.8273721999905687,0.8039887222760694,0.5648949880107976,0.8126152504701627,0.754659055572202,0.7475219518895692,0.48343560088244725
"(""split_NmKGE"", ""mean_NmKGE"")",0.8399006641300873,0.8634959033134547,0.8053427333008734,0.8470842369377987,0.47960320920500793,0.8186432354643619,0.7227166552818632,0.7949983042406459,0.4260781371767495
"(""split_NmKGE"", ""NnpKGE"")",0.8297612675904962,0.8622966321958064,0.8059307678293939,0.8412906299356271,0.48904460050116194,0.8216910572450319,0.725794350424528,0.7976247384180347,0.433792427374481
"(""split_NmKGE"", ""split_NNSE"")",0.8384458818036608,0.8628719866529916,0.8060950068899227,0.8412470584402701,0.47960320920498045,0.8186432354643611,0.7227166552818582,0.7949983042406469,0.42607813717674453
"(""split_NmKGE"", ""split_NmKGE"")",0.8392038235296361,0.8628272653754377,0.806302174943948,0.8455248831620045,0.47960320920498273,0.818643235464364,0.7227166552818561,0.7949983042406492,0.42607813717671533
"(""split_NmKGE"", ""split_mean_NmKGE"")",0.8446297915054655,0.8628389968425129,0.806095006889926,0.8411778629950056,0.4796032092049831,0.8186432354643638,0.7227166552818601,0.7949983042406483,0.42607813717671583
"(""split_NmKGE"", ""split_NnpKGE"")",0.8434109839512164,0.8627043765501673,0.8068674784211712,0.842321870553223,0.4796032092049837,0.8186432354643606,0.7227166552818585,0.7949983042406448,0.4260781371767521
"(""split_mean_NmKGE"", ""NNSE"")",0.7709459800943557,0.7990824702780023,0.83943856129867,0.7075207293825613,0.5113630708104907,0.7400113263980507,0.7371674333902051,0.7011269954698571,0.5140365868077776
"(""split_mean_NmKGE"", ""NmKGE"")",0.8398572679140658,0.8744565797121742,0.8281484493468223,0.802737596296561,0.5648949880107943,0.8145381596476649,0.7518677252839038,0.76277717565351,0.48541102581828377
"(""split_mean_NmKGE"", ""mean_NmKGE"")",0.8266031507948163,0.8649782442432603,0.8203411429479333,0.8309905405675525,0.467422241084786,0.7863866877878237,0.7552611985171752,0.758861665537479,0.5164422139718046
"(""split_mean_NmKGE"", ""NnpKGE"")",0.8264376975317547,0.8637599984255644,0.8198730867863648,0.8236627865881476,0.4674222410849324,0.8203747124609849,0.7389978674025739,0.791470015177887,0.485295433353167
"(""split_mean_NmKGE"", ""split_NNSE"")",0.8367126745873045,0.8639092120133032,0.819881121101201,0.823889834195331,0.4674222410847861,0.8112318301981808,0.7385688319569554,0.7846529742919324,0.4668583631816386
"(""split_mean_NmKGE"", ""split_NmKGE"")",0.8384693777647296,0.864258577462627,0.8213067029747988,0.828946627525861,0.4674222410847861,0.811638027671242,0.7019137214904558,0.7914382477551972,0.44029385354177697
"(""split_mean_NmKGE"", ""split_mean_NmKGE"")",0.839938313055648,0.8639673800688347,0.8198354605904886,0.8243525833546484,0.46742224108478914,0.8021823516724345,0.7377612884226802,0.7769836542578459,0.4816181340455033
"(""split_mean_NmKGE"", ""split_NnpKGE"")",0.8190168686819758,0.8639430543883444,0.8218327700514324,0.8252815582104401,0.46742224108483044,0.7498254705311266,0.7084492284215459,0.7227534792465218,0.4864386344211948
"(""split_NnpKGE"", ""NNSE"")",0.7797886812191074,0.799600927409025,0.8395957262157555,0.7086897317273172,0.511363070810483,0.736238544767176,0.7091797075385811,0.6971354192463998,0.4989132999613013
"(""split_NnpKGE"", ""NmKGE"")",0.8400850102757508,0.8736620389401705,0.8268054259862708,0.8023243678582044,0.5648949880108073,0.8193600091085466,0.7564779178680715,0.760165689744149,0.4705893725544971
"(""split_NnpKGE"", ""mean_NmKGE"")",0.8144518025551997,0.8366777549160711,0.7893394173917223,0.8077299805746606,0.5783373392217718,0.7827422656272575,0.7395186910162619,0.7628645386170849,0.5161101219885694
"(""split_NnpKGE"", ""NnpKGE"")",0.8271967768428244,0.8369357418701023,0.7935272500078776,0.8064061147321887,0.5863014398021054,0.8138710449752689,0.7490716122926164,0.7933725431547161,0.47533412871624636
"(""split_NnpKGE"", ""split_NNSE"")",0.8163067249907134,0.8361110117392299,0.7900029501052747,0.8046740595056309,0.5783373392217718,0.7890301160244114,0.7352686137804458,0.7749296611635389,0.5003206807504493
"(""split_NnpKGE"", ""split_NmKGE"")",0.823666383846923,0.8360713989522361,0.7901798692114097,0.805533111748042,0.5783373392217693,0.8143451323396955,0.7324569241312902,0.7997896062695375,0.4530779807942033
"(""split_NnpKGE"", ""split_mean_NmKGE"")",0.8182425769619873,0.8361618662398173,0.7900230418884847,0.8050254001710156,0.5783373392217718,0.7858550288127111,0.7368075089861719,0.770469815292145,0.5251290214914761
"(""split_NnpKGE"", ""split_NnpKGE"")",0.824836217744671,0.8379738559950001,0.7786676732170563,0.8157917112632236,0.5663885034852308,0.7929137412614683,0.7214266810588169,0.7717121877936547,0.46741860772055677
