Approach,Overall_NmKGE,Overall_calib,Wet_calib,Mid_calib,Dry_calib,Overall_valid,Wet_valid,Mid_valid,Dry_valid
"(""split_NNSE"", ""split_NmKGE"")",0.7891756802187379,0.8012423154595442,0.6394458324110054,0.831833972884144,0.43192410817256616,0.7983883423341159,0.6188327920448208,0.7815394390421652,0.4720689857615179
"(""split_NNSE"", ""split_mean_NmKGE"")",0.7510119807130853,0.7923217733439362,0.6893446325886738,0.7785341320156685,0.508186870728395,0.6972408643958341,0.714763541008643,0.6784550727478743,0.35980188749261516
"(""split_NNSE"", ""split_NnpKGE"")",0.7773598861786902,0.8103201567379116,0.6927101462867381,0.8004601071531758,0.4736187241665558,0.7284006559451044,0.6716560754242831,0.6900626030448157,0.4000917005150574
"(""split_NmKGE"", ""NNSE"")",0.8261221829997191,0.8594958295795723,0.7493407984478436,0.7903239225663743,0.516460195937091,0.7495368123465453,0.6617330647057973,0.7060437568659136,0.499023147072802
"(""split_NmKGE"", ""NmKGE"")",0.8454310757137201,0.8754725007791476,0.8257824174321721,0.8188888350411022,0.5611237530867315,0.8139741007493552,0.7397657605181674,0.753735577941349,0.4777633601543976
"(""split_NmKGE"", ""mean_NmKGE"")",0.8024092832227943,0.8068451916513028,0.6794984915164896,0.8416114171688567,0.5071061459110844,0.812061784137553,0.6553152667792902,0.7945555403034648,0.46924632276206535
"(""split_NmKGE"", ""NnpKGE"")",0.8230349487963257,0.8259654247328666,0.726861475493321,0.8436285798833886,0.5383633623294161,0.8407429958558171,0.6989826130414837,0.8171620481841916,0.4940286468538658
"(""split_NmKGE"", ""split_NNSE"")",0.7953685062892005,0.8012203431728766,0.6394274210841421,0.8314898742424242,0.44795038017320676,0.8038583195501038,0.6190804139945711,0.7756259586730316,0.41085685614080475
"(""split_NmKGE"", ""split_mean_NmKGE"")",0.793021351155471,0.8016424630008964,0.6509220660462757,0.8310268702900813,0.4787212386191559,0.8029424948611847,0.6333649515605181,0.7891756102201529,0.5673326464764882
"(""split_NmKGE"", ""split_NnpKGE"")",0.7907785721131884,0.8125001486244986,0.6835665043294701,0.8134363984677946,0.48435142652863555,0.762241412322864,0.6534939719036837,0.731905996778345,0.5298406256644453
"(""split_mean_NmKGE"", ""NNSE"")",0.820771527775986,0.8447082598586707,0.786920600189479,0.7787903373276669,0.538359042766233,0.7738064105339171,0.7132780083078668,0.7435840698245164,0.45968488524804896
"(""split_mean_NmKGE"", ""NmKGE"")",0.8215940096807114,0.8743485707894391,0.8271535826077588,0.80603845190994,0.563804930406118,0.7427940461605437,0.7414550438374587,0.7089117960961873,0.4468797387234027
"(""split_mean_NmKGE"", ""mean_NmKGE"")",0.7896035676703183,0.8045561598846486,0.7112944401928606,0.804766922910263,0.5380060404609466,0.7710259004279356,0.746098610939389,0.74295385704119,0.49532590639547663
"(""split_mean_NmKGE"", ""NnpKGE"")",0.7978056177504194,0.8274723680137958,0.7504977539173665,0.8228384854774988,0.5340673510916619,0.7568814687906961,0.745069409600446,0.7386954326244148,0.47821194081421375
"(""split_mean_NmKGE"", ""split_NNSE"")",0.7487626334449758,0.7923317803507192,0.6888796122942643,0.7792913018255416,0.49944514538882673,0.6916319762343537,0.714212765276244,0.6732089650824589,0.34555762424019393
"(""split_mean_NmKGE"", ""split_NmKGE"")",0.7928901399838026,0.8017223159480349,0.6504791703801336,0.8313945700868756,0.47818460096079546,0.7994752780661338,0.6288725075627767,0.7816420948311502,0.462493031771533
"(""split_mean_NmKGE"", ""split_NnpKGE"")",0.7781017041984774,0.8077477718023528,0.7005526483289028,0.787817040942573,0.5063861217652139,0.7216819649728861,0.67676932333196,0.6802521491952671,0.38218382164744785
"(""split_NnpKGE"", ""NNSE"")",0.8246067426434788,0.8533258525884314,0.777080495905001,0.7861172812539178,0.5352172155535417,0.7677775077637656,0.6940535026759959,0.7238848978664209,0.4401203511151733
"(""split_NnpKGE"", ""NmKGE"")",0.8174938290722515,0.8739425243274256,0.8263852792632921,0.8093454057800944,0.563056511699952,0.7610574500833477,0.7557349706451504,0.7275670340839048,0.4295505829683813
"(""split_NnpKGE"", ""mean_NmKGE"")",0.7951073931841306,0.8108786838836349,0.7058337859304196,0.8117036124513843,0.514015407348126,0.7621451954003023,0.6866692797798299,0.7192594687499353,0.5247163802708364
"(""split_NnpKGE"", ""NnpKGE"")",0.8126985553279954,0.8329133110678099,0.7406794128210061,0.8335975416598934,0.5377355363615359,0.7744611632886456,0.7157080288790124,0.7465751907750334,0.4596639531492142
"(""split_NnpKGE"", ""split_NNSE"")",0.7768455323027545,0.8103369697464669,0.6925280846557028,0.8003780108201932,0.4216805241253715,0.7250624747147734,0.6741828703695179,0.6938254333827722,0.38898836064393544
"(""split_NnpKGE"", ""split_NmKGE"")",0.797557637818189,0.8125239133080566,0.6836821999338581,0.8147891417351156,0.4843973447710199,0.7822355673586828,0.6480645529336766,0.747702876632099,0.5482855434319186
"(""split_NnpKGE"", ""split_mean_NmKGE"")",0.7767636216494208,0.8076557772437578,0.7004274014951868,0.7874364105657119,0.506641880505465,0.7230710848296743,0.6841167862733786,0.6855710200733227,0.3849756251271861
