Approach,Overall_A2k,Mean_A2k,Overall_calib,Wet_calib,Mid_calib,Dry_calib,Overall_valid,Wet_valid,Mid_valid,Dry_valid
"(""mean_NmKGE"", ""split_NnpKGE"")",18.29122422090109,23.300082054936414,35.42065734792108,1.800252383376905,63.3166762450254,4.783317536406941,13.236981478490433,4.1574475195301215,21.55853704126845,31.367094077759834
"(""NnpKGE"", ""NNSE"")",38.85383951163246,28.29427138582106,19.983063592124562,6.2273354674042185,32.661264406570126,45.99421428348883,31.10915583078834,9.857870466702538,10.402952665882417,323.15628913373575
"(""NnpKGE"", ""NmKGE"")",124.39793276956696,27.319833013741846,30.841627781347313,8.676209158882608,63.67745606245732,9.605833819885614,261.14078576730935,3.491766977874422,226.39474489205367,222.20984734314584
"(""NnpKGE"", ""mean_NmKGE"")",14.48551066358222,50.708013133714324,78.0972121816698,1.5427324569485168,127.87004204724323,22.711264896951203,18.424649672937385,2.0691648488109573,16.30515059206726,18.5557931364024
"(""NnpKGE"", ""split_NNSE"")",53.00315815736021,29.956417641480556,17.38064780360097,3.303710876529542,28.318761668247575,58.24678037966455,41.9828636423423,8.200470832159702,15.815526147032736,377.51690883961595
"(""NnpKGE"", ""split_NmKGE"")",63.57836084193633,24.611732883944743,4.933114126846272,6.271606695160378,8.622370129442592,58.94122182723127,47.22619444677018,8.79212798365848,18.10770411095887,376.52887943949383
"(""NnpKGE"", ""split_mean_NmKGE"")",38.33248381744858,33.94415460962488,35.045809153070024,3.299530677514072,61.07831854521698,37.454614606143586,22.117033155284965,6.392247897578635,42.639735484254224,13.380436823800695
"(""NnpKGE"", ""split_NnpKGE"")",32.74886463150685,18.986712417882515,8.940238855760994,15.380024724830031,26.015947992099044,15.564164536718474,27.45144358918217,8.517903625633943,11.75238032732355,213.73655731299826
"(""split_NNSE"", ""NNSE"")",58.56435167433782,35.22598032091215,16.102899342068373,4.058443833295863,23.70680128299871,77.91269584644186,43.87379282416766,8.887916161673848,18.029974768272513,388.2028398409096
"(""split_NNSE"", ""NmKGE"")",340.23723065956756,80.92830534949054,55.37847220916794,21.837589582929706,64.2915910257439,156.655735439798,221.4598038288441,15.557448526051234,166.9054115682518,519.4175367204657
"(""split_NNSE"", ""mean_NmKGE"")",55.42105424448386,33.07601231422196,16.521375899897194,4.102668554061731,24.763639500614126,70.36172888799004,42.10935253820701,8.660761303115759,17.59836459728841,374.2896352763737
"(""split_NNSE"", ""NnpKGE"")",54.65525124887838,30.710549214009706,16.96719638282207,3.452441973104499,27.084248611315104,61.59495705760951,42.55471460642958,8.338217840679812,16.391414205838792,381.18779982637875
"(""split_NNSE"", ""split_NmKGE"")",77.21940657736981,30.435371774912753,6.776481135566264,6.205908458953692,8.77731481477873,76.32289205100584,47.66305636306991,9.689977274888967,16.891965100020037,397.02153664102667
"(""split_NNSE"", ""split_mean_NmKGE"")",21.866303751001414,22.247747110352464,22.75531084375176,1.674902161582725,43.55538882205056,21.512950347424106,16.31214730315476,6.849564308839795,33.266220603276196,33.80951001914721
"(""split_NNSE"", ""split_NnpKGE"")",45.240070739996575,27.26076420515766,13.071834908722394,2.497319337733167,23.71120623636811,55.57376704137171,34.743464936709636,7.851021812835943,14.378504139683411,330.50982520221754
"(""split_NmKGE"", ""NNSE"")",77.2193403693295,30.435371774912753,6.776481135566264,6.205908458953692,8.77731481477873,76.32289205100584,47.6630459203277,9.689977274888967,16.892072712343847,397.02153664102667
"(""split_NmKGE"", ""NmKGE"")",79.17577420621623,30.709966267114538,7.02065256410615,5.978885936313406,9.025886904201593,77.12512596082861,48.9942402985397,9.714052540497757,17.97221954239683,400.1194676796172
"(""split_NmKGE"", ""mean_NmKGE"")",40.1835370585222,21.725161997513514,4.384707033454836,3.400444018252254,7.7080141054611495,54.06702786882714,29.861768127784508,8.678178025216983,7.228872073910703,309.4065817322035
