Approach,Overall_NmKGE,Overall_calib,Wet_calib,Mid_calib,Dry_calib,Overall_valid,Wet_valid,Mid_valid,Dry_valid
"(""mean_NmKGE"", ""NmKGE"")",0.8680027198505208,0.8550565378455269,0.7810209990049879,0.8559530045180395,0.5714704286339074,0.8541391409197846,0.7126010119561441,0.8234547385605172,0.4176848227446149
"(""mean_NmKGE"", ""NnpKGE"")",0.8293103717305119,0.8089826149590561,0.8014632071465626,0.7641102221446467,0.6250565836486035,0.799311050630295,0.7264379225493114,0.7688230031311832,0.4674188045787091
"(""mean_NmKGE"", ""split_NNSE"")",0.8085370680342859,0.8059875985094278,0.7468424831028853,0.795872476854123,0.67580142283841,0.779841996460736,0.6910982017227597,0.7648536020341327,0.4284256082084208
"(""mean_NmKGE"", ""split_NmKGE"")",0.8449709031244873,0.8550049085819494,0.8016929018170833,0.839214089831675,0.6248808965557779,0.8163987670790945,0.7263316760178589,0.7932866890680377,0.4274498341684515
"(""mean_NmKGE"", ""split_mean_NmKGE"")",0.8437953688331009,0.8588577454318955,0.8162388263576189,0.8247211643896659,0.5119062408208298,0.8099176047280281,0.7397046926520281,0.7829977949170644,0.44933678309173003
"(""mean_NmKGE"", ""split_NnpKGE"")",0.8257190491842685,0.8241229651019581,0.7904322487801859,0.7948702305250207,0.7659151366188776,0.7977622848035221,0.7426619463051631,0.7744887169807722,0.46168318684006815
"(""NnpKGE"", ""NNSE"")",0.8263893462935933,0.8265574855399916,0.7733796589690555,0.7972913505864704,0.4964206991202121,0.7961589584660916,0.6930746855670052,0.7759131754767206,0.42003236274586914
"(""NnpKGE"", ""NmKGE"")",0.8245731645592498,0.8205321131771621,0.8079727472492454,0.7675141009285373,0.6100607188843901,0.7761652761481335,0.7126190832075555,0.7355842430487005,0.45983807055418313
"(""NnpKGE"", ""mean_NmKGE"")",0.8280610159403721,0.8067544124309751,0.7962497109602787,0.7653688452078924,0.6166883657087041,0.8016407995451413,0.7315755687569713,0.7702852966794022,0.46443320498390445
"(""NnpKGE"", ""split_NNSE"")",0.7999889039879153,0.8023614692190123,0.7380299136838243,0.781484918623085,0.4686841621010752,0.7714195461057668,0.6690248309987532,0.7581379551045361,0.4168094803638442
"(""NnpKGE"", ""split_NmKGE"")",0.8442537171046055,0.8582013959305602,0.8074155071542891,0.8330961339584474,0.5172731681832878,0.816394500845486,0.7214547574372204,0.7929117810518904,0.43133409431908637
"(""NnpKGE"", ""split_mean_NmKGE"")",0.8434764455200807,0.86070011299024,0.8204943335967867,0.819159556812416,0.4784148705561827,0.8102348476056302,0.7364390384359666,0.7822933728512526,0.45426572386414016
"(""NnpKGE"", ""split_NnpKGE"")",0.8268954863447155,0.8353815707714277,0.7936165309235927,0.8014133252023882,0.5951273208352333,0.8046904631857476,0.735432677870098,0.7867168119721609,0.47449215444300386
"(""split_NNSE"", ""NNSE"")",0.7987395692962082,0.8026176828003957,0.7327692525087327,0.7835755663022809,0.4341935223090157,0.7704402763929299,0.6677690699588537,0.7570810987223663,0.41281279408540306
"(""split_NNSE"", ""NmKGE"")",0.865455649639739,0.8631508397352005,0.7779639535474477,0.8544198800913999,0.40433182730286293,0.849361833310596,0.703449863732258,0.817775133044398,0.3959282272462526
"(""split_NNSE"", ""mean_NmKGE"")",0.7971692210011553,0.8006152912038275,0.730400420716808,0.783569563525758,0.4546831644037104,0.769124285878838,0.6673430079871497,0.756388455925345,0.4144366993785962
"(""split_NNSE"", ""NnpKGE"")",0.7991214441520862,0.8018516235071355,0.7359933420353749,0.781628155365007,0.46080570398150783,0.7706946481156653,0.6681795603256641,0.7575454084782768,0.4158163781193739
"(""split_NNSE"", ""split_NmKGE"")",0.8456554598756485,0.8627811899406211,0.8060950060203158,0.8410775585411101,0.4796032084370552,0.8186432347604243,0.7227166544506909,0.7949983037262979,0.4260781369345176
"(""split_NNSE"", ""split_mean_NmKGE"")",0.8363838216910854,0.8533166467383314,0.8081384227558078,0.8158362832343693,0.48251424058873166,0.8017437665338893,0.7228565144243454,0.7774132289613712,0.44755147558717945
"(""split_NNSE"", ""split_NnpKGE"")",0.8101344472146108,0.8164469886692218,0.7598750165209335,0.796423050989176,0.49654066060436,0.782200486307225,0.6909823189246581,0.7690874037444706,0.4369297166645391
"(""split_NmKGE"", ""NNSE"")",0.8456554499256456,0.8627811630260522,0.8060949802254666,0.8410775237424254,0.4796032200013954,0.8186432156636142,0.7227166239809671,0.7949982886623447,0.4260781269544517
"(""split_NmKGE"", ""NmKGE"")",0.8463653622686873,0.8631924077778326,0.8060280430619133,0.8416509037492588,0.47879730035745227,0.8196549688555511,0.7225926153003576,0.7959514541652076,0.42574185959532695
"(""split_NmKGE"", ""mean_NmKGE"")",0.8455729578511653,0.857930490316637,0.803249892104456,0.8407752201185513,0.5848262125159418,0.8173320445022375,0.7251066485760587,0.7942303853176371,0.4268346698636849
"(""split_NmKGE"", ""NnpKGE"")",0.8456554509929903,0.8627811559456423,0.8060950189352555,0.8410774999900074,0.47960356811902083,0.8186432194898438,0.7227166443754679,0.7949982910313679,0.42607818511063483
"(""split_NmKGE"", ""split_NNSE"")",0.8436192376420046,0.8599220943982223,0.8027550151432238,0.8382772809651514,0.4767405246823551,0.8159977352226956,0.7196124754962675,0.7930538046244899,0.4251728377249287
"(""split_NmKGE"", ""split_mean_NmKGE"")",0.8457317903725872,0.863039703848149,0.8077087093124685,0.8398089359440006,0.48994416292961857,0.8180803143028796,0.7239488678862381,0.7941155979336119,0.4304886687817819
"(""split_NmKGE"", ""split_NnpKGE"")",0.8456554500750127,0.8627811691993355,0.8060950049683644,0.8410775380075423,0.4796033533926774,0.818643226496575,0.7227166701762722,0.7949983062898753,0.42607820228071186
"(""split_mean_NmKGE"", ""NNSE"")",0.8440278487687087,0.8635403489521467,0.8198730687057733,0.8230495648951328,0.46742233855382603,0.8108059721870999,0.7389978180042531,0.7824595265376663,0.45391379540492965
